country_name,name,currency_name,exchange_date,conversion_rate
Tuvalu                   ,Australian Dollar                       ,AUD,30-Jun-23,1.497
Uganda                   ,Uganda Shilling                         ,UGX,30-Jun-23,3671.58
Ukraine                  ,Ukraine Hryvnia                         ,UAH,30-Jun-23,37
United Arab Emirates     ,United Arab Emirates Dirham             ,AED,30-Jun-23,3.673
United Kingdom           ,U.K. Pound                              ,GBP,30-Jun-23,0.785
United States of America ,US Dollar                               ,USD,30-Jun-23,1
Uruguay                  ,Uruguay Peso                            ,UYU,30-Jun-23,37.4
Uzbekistan               ,Uzbekistan Sum                          ,UZS,30-Jun-23,11480
Vanuatu                  ,Vanuatu Vatu                            ,VUV,30-Jun-23,114.16
Venezuela                ,Bolivar Digital                         ,VES,30-Jun-23,27.542
Viet Nam                 ,Viet Nam Dong                           ,VND,30-Jun-23,23505
Virgin Islands (UK)      ,US Dollar                               ,USD,30-Jun-23,1
Virgin Islands (USA)     ,US Dollar                               ,USD,30-Jun-23,1
Wallis and Futuna Islands,CFP Franc                               ,XPF,30-Jun-23,108.999
"Yemen, Republic of       ",Yemeni Rial                             ,YER,30-Jun-23,511.68
Zambia                   ,Zambia Kwacha                           ,ZMW,30-Jun-23,17.25
Zimbabwe                 ,Zimbabwe RTGS dollar                    ,ZWL,30-Jun-23,6862.278
